Date,Transaction ID,Type,Amount,Fee,Status
2026-07-21,TXN1001,Sale,$91.05,$2.19,Completed
2026-07-21,TXN1002,Sale,$23.63,$0.57,Completed
2026-07-21,TXN1003,Sale,$90.95,$2.18,Cancelled
2026-07-21,TXN1004,Sale,$74.14,$1.78,Completed
2026-07-21,TXN1005,Sale,$18.49,$0.44,Voided
2026-07-21,TXN1006,Sale,$75.43,$1.81,Completed
2026-07-21,TXN1007,Sale,$88.19,$2.12,Completed
2026-07-21,TXN1008,Sale,$54.99,$1.32,Completed
2026-07-21,TXN1009,Sale,$39.16,$0.94,Completed
2026-07-21,TXN1010,Sale,$92.99,$2.23,Completed
2026-07-21,TXN1011,Sale,$55.33,$1.33,Completed
2026-07-21,TXN1012,Sale,$32.12,$0.77,Completed
2026-07-21,TXN1013,Sale,$19.45,$0.47,Completed
2026-07-21,TXN1014,Sale,$48.21,$1.16,Completed
2026-07-21,TXN1015,Sale,$37.63,$0.90,Completed
2026-07-21,TXN1016,Sale,$59.46,$1.43,Voided
2026-07-21,TXN1017,Sale,$111.30,$2.67,Completed
2026-07-21,TXN1018,Sale,$40.84,$0.98,Voided
2026-07-21,TXN1019,Sale,$107.17,$2.57,Completed
2026-07-21,TXN1020,Sale,$29.54,$0.71,Completed
2026-07-21,TXN1021,Sale,$82.06,$1.97,Voided
2026-07-21,TXN1022,Sale,$118.34,$2.84,Completed
2026-07-21,TXN1023,Sale,$105.05,$2.52,Completed
2026-07-21,TXN1024,Sale,$58.78,$1.41,Completed
2026-07-21,TXN1025,Sale,$26.22,$0.63,Completed
2026-07-21,TXN1026,Sale,$83.06,$1.99,Completed
2026-07-21,TXN1027,Sale,$84.56,$2.03,Completed
2026-07-21,TXN1028,Sale,$79.12,$1.90,Voided
2026-07-21,TXN1029,Sale,$35.42,$0.85,Completed
2026-07-21,TXN1030,Sale,$38.23,$0.92,Completed
2026-07-21,TXN1031,Sale,$85.07,$2.04,Completed
2026-07-21,TXN1032,Sale,$44.32,$1.06,Completed
2026-07-21,TXN1033,Sale,$14.27,$0.34,Completed
2026-07-21,TXN1034,Sale,$98.17,$2.36,Completed
2026-07-21,TXN1035,Sale,$15.41,$0.37,Completed
2026-07-21,TXN1036,Sale,$71.52,$1.72,Completed
2026-07-21,TXN1037,Sale,$31.81,$0.76,Completed
2026-07-21,TXN1038,Sale,$107.08,$2.57,Completed
2026-07-21,TXN1039,Sale,$24.00,$0.58,Completed
2026-07-21,TXN1040,Sale,$91.44,$2.19,Completed
2026-07-21,TXN1041,Sale,$91.67,$2.20,Completed
2026-07-21,TXN1042,Sale,$73.36,$1.76,Completed
2026-07-21,TXN1043,Sale,$119.70,$2.87,Completed
2026-07-21,TXN1044,Sale,$63.27,$1.52,Completed
2026-07-21,TXN1045,Sale,$104.44,$2.51,Completed
2026-07-21,TXN1046,Sale,$25.92,$0.62,Completed
2026-07-21,TXN1047,Sale,$74.80,$1.80,Completed
2026-07-21,TXN1048,Sale,$74.74,$1.79,Completed
2026-07-21,TXN1049,Sale,$36.16,$0.87,Completed
2026-07-21,TXN1050,Sale,$113.55,$2.73,Completed
2026-07-22,TXN1051,Sale,$84.35,$2.02,Completed
2026-07-22,TXN1052,Sale,$37.88,$0.91,Completed
2026-07-22,TXN1053,Sale,$20.49,$0.49,Completed
2026-07-22,TXN1054,Sale,$58.82,$1.41,Completed
2026-07-22,TXN1055,Sale,$106.10,$2.55,Completed
2026-07-22,TXN1056,Sale,$64.07,$1.54,Completed
2026-07-22,TXN1057,Sale,$110.21,$2.65,Completed
2026-07-22,TXN1058,Sale,$41.43,$0.99,Completed
2026-07-22,TXN1059,Sale,$76.20,$1.83,Completed
2026-07-22,TXN1060,Sale,$93.40,$2.24,Completed
2026-07-22,TXN1061,Sale,$95.21,$2.29,Completed
2026-07-22,TXN1062,Sale,$8.06,$0.19,Completed
2026-07-22,TXN1063,Sale,$10.18,$0.24,Completed
2026-07-22,TXN1064,Sale,$106.42,$2.55,Completed
2026-07-22,TXN1065,Sale,$42.44,$1.02,Completed
2026-07-22,TXN1066,Sale,$106.34,$2.55,Voided
2026-07-22,TXN1067,Sale,$17.59,$0.42,Completed
2026-07-22,TXN1068,Sale,$15.75,$0.38,Completed
2026-07-22,TXN1069,Sale,$93.77,$2.25,Completed
2026-07-22,TXN1070,Sale,$61.23,$1.47,Completed
2026-07-22,TXN1071,Sale,$37.69,$0.90,Completed
2026-07-22,TXN1072,Sale,$55.39,$1.33,Completed
2026-07-22,TXN1073,Sale,$68.40,$1.64,Completed
2026-07-22,TXN1074,Sale,$30.53,$0.73,Completed
2026-07-22,TXN1075,Sale,$119.46,$2.87,Completed
2026-07-22,TXN1076,Sale,$57.07,$1.37,Completed
2026-07-22,TXN1077,Sale,$21.55,$0.52,Completed
2026-07-22,TXN1078,Sale,$45.87,$1.10,Completed
2026-07-22,TXN1079,Sale,$33.77,$0.81,Completed
2026-07-22,TXN1080,Sale,$15.95,$0.38,Completed
2026-07-22,TXN1081,Sale,$33.64,$0.81,Completed
2026-07-22,TXN1082,Sale,$104.28,$2.50,Completed
2026-07-22,TXN1083,Sale,$34.66,$0.83,Voided
2026-07-22,TXN1084,Sale,$31.99,$0.77,Completed
2026-07-22,TXN1085,Sale,$112.78,$2.71,Completed
2026-07-22,TXN1086,Sale,$60.94,$1.46,Completed
2026-07-22,TXN1087,Sale,$98.44,$2.36,Completed
2026-07-22,TXN1088,Sale,$18.86,$0.45,Completed
2026-07-22,TXN1089,Sale,$55.44,$1.33,Completed
2026-07-22,TXN1090,Sale,$89.66,$2.15,Completed
2026-07-22,TXN1091,Sale,$118.23,$2.84,Completed
2026-07-22,TXN1092,Sale,$53.09,$1.27,Cancelled
2026-07-22,TXN1093,Sale,$104.51,$2.51,Completed
2026-07-22,TXN1094,Sale,$29.30,$0.70,Completed
2026-07-22,TXN1095,Sale,$55.25,$1.33,Completed
2026-07-22,TXN1096,Sale,$35.98,$0.86,Completed
2026-07-22,TXN1097,Sale,$57.63,$1.38,Completed
2026-07-22,TXN1098,Sale,$69.64,$1.67,Completed
2026-07-22,TXN1099,Sale,$119.92,$2.88,Voided
2026-07-22,TXN1100,Sale,$116.53,$2.80,Completed
2026-07-22,TXN1101,Sale,$103.05,$2.47,Completed
2026-07-23,TXN1102,Sale,$61.91,$1.49,Completed
2026-07-23,TXN1103,Sale,$109.07,$2.62,Completed
2026-07-23,TXN1104,Sale,$8.24,$0.20,Completed
2026-07-23,TXN1105,Sale,$111.77,$2.68,Completed
2026-07-23,TXN1106,Sale,$39.95,$0.96,Completed
2026-07-23,TXN1107,Sale,$89.82,$2.16,Completed
2026-07-23,TXN1108,Sale,$82.13,$1.97,Completed
2026-07-23,TXN1109,Sale,$29.27,$0.70,Completed
2026-07-23,TXN1110,Sale,$14.55,$0.35,Completed
2026-07-23,TXN1111,Sale,$14.83,$0.36,Completed
2026-07-23,TXN1112,Sale,$13.62,$0.33,Completed
2026-07-23,TXN1113,Sale,$110.97,$2.66,Completed
2026-07-23,TXN1114,Sale,$14.37,$0.34,Completed
2026-07-23,TXN1115,Sale,$103.35,$2.48,Completed
2026-07-23,TXN1116,Sale,$15.61,$0.37,Voided
2026-07-23,TXN1117,Sale,$53.22,$1.28,Completed
2026-07-23,TXN1118,Sale,$71.80,$1.72,Completed
2026-07-23,TXN1119,Sale,$12.45,$0.30,Completed
2026-07-23,TXN1120,Sale,$81.63,$1.96,Cancelled
2026-07-23,TXN1121,Sale,$43.43,$1.04,Completed
2026-07-23,TXN1122,Sale,$83.01,$1.99,Completed
2026-07-23,TXN1123,Sale,$37.75,$0.91,Completed
2026-07-23,TXN1124,Sale,$80.30,$1.93,Completed
2026-07-23,TXN1125,Sale,$112.05,$2.69,Completed
2026-07-23,TXN1126,Sale,$9.04,$0.22,Completed
2026-07-23,TXN1127,Sale,$71.06,$1.71,Completed
2026-07-23,TXN1128,Sale,$68.22,$1.64,Cancelled
2026-07-23,TXN1129,Sale,$22.84,$0.55,Completed
2026-07-23,TXN1130,Sale,$15.70,$0.38,Completed
2026-07-23,TXN1131,Sale,$39.92,$0.96,Completed
2026-07-23,TXN1132,Sale,$68.84,$1.65,Completed
2026-07-23,TXN1133,Sale,$118.19,$2.84,Completed
2026-07-23,TXN1134,Sale,$67.24,$1.61,Completed
2026-07-23,TXN1135,Sale,$70.12,$1.68,Completed
2026-07-23,TXN1136,Sale,$19.60,$0.47,Completed
2026-07-24,TXN1137,Sale,$107.65,$2.58,Completed
2026-07-24,TXN1138,Sale,$25.41,$0.61,Completed
2026-07-24,TXN1139,Sale,$31.59,$0.76,Completed
2026-07-24,TXN1140,Sale,$85.00,$2.04,Completed
2026-07-24,TXN1141,Sale,$64.61,$1.55,Completed
2026-07-24,TXN1142,Sale,$109.71,$2.63,Completed
2026-07-24,TXN1143,Sale,$79.04,$1.90,Voided
2026-07-24,TXN1144,Sale,$12.94,$0.31,Completed
2026-07-24,TXN1145,Sale,$22.65,$0.54,Completed
2026-07-24,TXN1146,Sale,$26.10,$0.63,Completed
2026-07-24,TXN1147,Sale,$87.03,$2.09,Completed
2026-07-24,TXN1148,Sale,$20.53,$0.49,Completed
2026-07-24,TXN1149,Sale,$85.39,$2.05,Completed
2026-07-24,TXN1150,Sale,$12.04,$0.29,Completed
2026-07-24,TXN1151,Sale,$69.88,$1.68,Completed
2026-07-24,TXN1152,Sale,$12.68,$0.30,Completed
2026-07-24,TXN1153,Sale,$112.51,$2.70,Completed
2026-07-24,TXN1154,Sale,$12.47,$0.30,Completed
2026-07-24,TXN1155,Sale,$84.39,$2.03,Completed
2026-07-24,TXN1156,Sale,$47.61,$1.14,Completed
2026-07-24,TXN1157,Sale,$105.97,$2.54,Completed
